week,date,date_end,title,deadline,content,assignment,note
1,8/26/26,,Introduction and Philosophy of Science,,01-week1,,
1,8/28/26,,Philosophy of Science,,,,
2,8/31/26,,Social Scientific Inquiry,,02-week2,,
2,9/2/26,,Social Scientific Inquiry,,,,
2,9/4/26,,No in-person meeting,,,,
3,9/7/26,,R101,,03-week3,../resource/r,
3,9/9/26,,R101,,,,
3,9/11/26,,Research Question Due,11:59 PM,,../assignment/research-project1,
4,9/14/26,,How Experiments Work,,04-week4,,
4,9/16/26,,How Experiments Work,,,,
4,9/18/26,,Problem Set 1 - In-class,,,../assignment/pset1,
5,9/21/26,,Data Measurement,,05-week5,,
5,9/23/26,,Literature Reviews,,,,
5,9/25/26,,Problem Set 2 - In-class,,,../assignment/pset2,
6,9/28/26,,Survey Data,,06-week6,,
6,9/30/26,,Bivariate Analysis,,,,
6,10/2/26,,Problem Set 3 - In-class,,,../assignment/pset3,
7,10/5/26,,Midterm Exam,,07-week7,,
7,10/7/26,,Midterm Exam,,,,
7,10/9/26,,Midterm Exam,,,,
8,10/12/26,10/16/26,Fall Break,,,,
9,10/19/26,,Qualitative Approaches,,09-week9,,
9,10/21/26,,Qualitative Approaches,,,,
9,10/23/26,,Literature Review and Expectations,11:59 PM,,../assignment/research-project2,
10,10/26/26,,Predictions with Linear Regression,,10-week10,,
10,10/28/26,,Predictions with Linear Regression,,,,
10,10/30/26,,Problem Set 4 - In-class,,,../assignment/pset4,
11,11/2/26,,Observational Studies,,11-week11,,
11,11/4/26,,Observational Studies,,,,
11,11/6/26,,Problem Set 5 - In-class,,,../assignment/pset5,
12,11/9/26,,Probability,,12-week12,,
12,11/11/26,,Probability,,,,
12,11/13/26,,Problem Set 6 - In-class,,,../assignment/pset6,
13,11/16/26,,Population Samples,,13-week13,,
13,11/18/26,,Hypothesis Testing,,,,
13,11/20/26,,Problem Set 7 - In-class,,,../assignment/pset7,
14,11/23/26,,Confidence Intervals,,14-week14,,
14,11/25/26,11/27/26,NO CLASS. Thanksgiving Break.,,,,
15,11/30/26,,Peer-review day,,15-week15,../assignment/research-project3,
15,12/2/26,,Workshop day,,,,
15,12/4/26,,Final paper due,11:59 PM,,../assignment/research-project4,
16,5/4/26,,Final exam,10:30 AM,16-week16,,
